peak_id,peak_name,host_contries,height_m,height_ft,location,region,climb_status,is_open,is_unlisted,is_trekking,trek_year,first_asc_yr,first_asc_season,first_asc_date,countries,first_summiters
GAUR,Gaurishankar,Nepal & China,7135,23409,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1979,Spring,May 08,"US, Nepal","John Roskelley, Dorje Sherpa"
GAUS,Gaurishankar South,Nepal only,7010,22999,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1979,Autumn,Nov 09,UK,"Peter Boardman, Pemba Lama, Timothy Leach, Guy Neithardt"
GHAN,Ghhanyala Hies,Nepal & China,6744,22126,Janak/Ohmi Kangri,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
GHEN,Ghenge Liru,Nepal only,6596,21640,Langtang,Langtang-Jugal,Climbed,1,0,0,0,1963,Spring,May 28,"UK, Nepal","Peter Taylor, Pasang Sherpa, Pasang Phutar Sherpa (I)"
GHUN,Ghustang North,Nepal only,6529,21421,Dhaulagiri,Dhaulagiri-Mukut,Climbed,1,0,0,0,1962,Autumn,Oct 22,"UK, Nepal","J.O.M. Roberts, Ang Pema Sherpa, Nawang Dorje Sherpa"
GHUS,Ghustang South,Nepal only,6465,21211,Dhaulagiri,Dhaulagiri-Mukut,Climbed,1,0,0,0,2019,Autumn,Oct 23,"France, Canada, Switzerland, Nepal","Corinne Amouillin-Gautier, Herve Barlier, Sophie Bellier, Dimitri Lomer, Albert Namiache, Charles Rossignol, Francois Schulz, Dipen Nuppa Bhote, Rajan Lama Bhote, Chettar Sherpa"
GHYM,Ghyuthumba Main,Nepal only,5806,19049,Kanjiroba,Far West-Kanjiroba,Climbed,0,1,0,0,1953,Autumn,Nov,"Austria, Nepal, India","Herbert Tichy, Ajiba Sherpa, Gyalzen Sherpa, Pasang Dawa Lama, Pemba Sherpa"
GHYN,Ghyun Himal I,Nepal & China,6110,20046,Mukut/Mustang,Dhaulagiri-Mukut,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
GIME,Gimmigela Chuli East,Nepal & India,7007,22989,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,0,1,0,0,1993,Autumn,Oct 09,"Japan, Nepal","Hideo Koike, Masanori Sato, Taro Tanigawa, Chuldin Sherpa, Pasang Nima Sherpa, Phurba Sherpa"
GIMM,Gimmigela Chuli,Nepal & India,7350,24114,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,1,0,0,0,1994,Autumn,Oct 29,"Japan, Nepal","Shigeru Yokokuwa, Dawa Wangchuk Sherpa, Pasang Gyalzen Sherpa, Pasang Tenzing Sherpa"
GLAC,Glacier Dome,Nepal only,7168,23517,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1964,Spring,Oct 16,"Japan, Nepal","Mitsuhiro Nishimura, Dorje Sherpa"
GOJN,Gojung,Nepal & China,6310,20702,Kanti/Palchung,Far West-Kanjiroba,Climbed,0,1,0,0,2011,Autumn,Oct 19,UK,"Mick Fowler, Dave Turnbull"
GOLD,Goldum Peak,Nepal & China,6632,21759,Jugal,Langtang-Jugal,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
GORH,Gorakh Himal,Nepal & China,6198,20335,Nalakankar/Chandi/Changla,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
GORK,Gorakh Khang,Nepal & China,6254,20518,Nalakankar/Chandi/Changla,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
GURA,Guras,Nepal & China,6744,22126,Api/Byas Risi/Guras,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
GURJ,Gurja Himal,Nepal only,7193,23599,Dhaulagiri,Dhaulagiri-Mukut,Climbed,1,0,0,0,1969,Autumn,Nov 01,"Japan, Nepal","Tomokuni Saeki, Lhakpa Tenzing Sherpa"
GURK,Gurkarpo Ri,Nepal & China,6889,22602,Jugal,Langtang-Jugal,Climbed,1,0,0,0,2007,Autumn,Nov 01,France,"Paul Grobel, Pierre-Olivier Dupuy, Marc Kia, Jean Francois Males"
GYAC,Gyachung Kang,Nepal & China,7861,25791,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1964,Spring,Apr 10,"Japan, Nepal","Yukihiko Kato, Kiyoto Sakaizawa, Pasang Phutar Sherpa (I)"
GYAJ,Gyajikang,Nepal only,7074,23209,Peri,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1994,Autumn,Oct 07,"Japan, Nepal","Toshisada Hasegawa, Yousuke Kokubo, Osamu Tanabe, Ram Kaji Sivakoti, Pasang Tshering Sherpa, Dambar Bahadur Gurung"
GYLA,Gyala,Nepal & China,6363,20876,Manaslu/Mansiri,Manaslu-Ganesh,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
GYLZ,Gyalzen Peak,Nepal & China,6151,20180,Jugal,Langtang-Jugal,Climbed,1,0,0,0,2019,Spring,Apr 09,Nepal,"Maya Gurung, Min Bahadur Tamang, Sharmila Thapa, Tul Singh Gurung, Nar Bahadur Astani, Ash Bahadur Gurung, Samir Gurung"
HCHI,Hungchhi,Nepal & China,7029,23061,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2003,Spring,Apr 19,"Japan, Nepal","Katsuo Fukuhara, Tadashi Morita, Kanji Shimizu, Durga Rai, Hit Bahadur Tamang, Ram Kaji Tamang, Tul Bahadur Tamang"
HERZ,Herzog Peak,Nepal only,7555,24787,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,0,All,Unknown,Unknown,Climbed?
HIME,Himalchuli East,Nepal only,7893,25896,Manaslu/Mansiri,Manaslu-Ganesh,Climbed,1,0,0,0,1960,Spring,May 24,Japan,"Masahiro Harada, Hisashi Tanabe"
HIMJ,Himjung,Nepal only,7092,23268,Peri,Annapurna-Damodar-Peri,Climbed,1,0,0,20,2012,Autumn,Oct 12,S Korea,"Kim Chang-Ho, An Chi-Young"
HIML,Himlung Himal,Nepal only,7126,23379,Peri,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1992,Spring,Oct 03,"Japan, Nepal","Osamu Hanai, Akio Koizumi, Nima Sherpa"
HIMN,Himalchuli North,Nepal only,7331,24052,Manaslu/Mansiri,Manaslu-Ganesh,Climbed,1,0,0,0,1985,Autumn,Oct 27,"S Korea, Nepal","Lee Jae-Hong, Ang Pasang Sherpa, Jangbu Sherpa, Lhakpa Norbu Sherpa, Pasang Dawa Sherpa"
HIMW,Himalchuli West,Nepal only,7540,24738,Manaslu/Mansiri,Manaslu-Ganesh,Climbed,1,0,0,0,1978,Spring,May 07,Japan,"Yoshio Ogata, Kazuhiro Sugeno"
HIUP,Hiunchuli,Nepal only,6434,21109,Annapurna,Annapurna-Damodar-Peri,Climbed,0,0,1,1978,1971,Autumn,Oct 10,USA,"Craig Anderson, Peter Cross, Jim Richards, John Skow, Lane Smith"
HMLE,Himlung East,Nepal & China,6932,22743,Peri,Annapurna-Damodar-Peri,Climbed,1,0,0,0,2017,Spring,May 08,"France, Nepal","Paulo Grobel, Isabelle Guillaume, Rajan Lama Bhote, Jangbu Sherpa"
HNKU,Hongku Chuli,Nepal only,6833,22418,Khumbu,Khumbu-Rolwaling-Makalu,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
HONG,Hongde,Nepal only,6556,21509,Mukut/Mustang,Dhaulagiri-Mukut,Climbed,1,0,0,0,1962,Spring,May 08,"Japan, Nepal","Shijiro Ishizaka, Zenkichi Hirayama, Takashi Miyahara, Ang Dawa Sherpa, Ang Temba Sherpa"
HONK,Hongku,Nepal only,6764,22192,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2015,Autumn,Oct 09,France,"Alberto Inurrategi Iriarte, Juan Vallejo Llanos, Miguel Zabalza Azkona"
HUGO,Hulang Go,Nepal & India,6687,21939,Peri,Annapurna-Damodar-Peri,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
HUNK,Hunku,Nepal only,6119,20075,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,0,1,0,0,2012,Autumn,Nov 11,UK,"Nick Bullock, Andy Houseman"
IMJA,Imjatse,Nepal only,6165,20226,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,0,0,1,1978,1956,Spring,Unknown,"Switzerland, Nepal","Hansrudolf Von Gunten, 2 unknown Sherpas"
JABR,Jabou Ri,Nepal only,6166,20230,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2015,Autumn,Sep 15,USA,"Ryan Waters, Eric Larsen"
JAGD,Jagdula,Nepal only,5761,18901,Kanjiroba,Far West-Kanjiroba,Climbed,1,0,0,0,2013,Spring,Apr 30,France,Francois Damilano
JANE,Jannu East,Nepal only,7460,24475,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unknown
JANK,Janak Chuli,Nepal & China,7041,23100,Janak/Ohmi Kangri,Kangchenjunga-Janak,Climbed,1,0,0,0,2006,Spring,May 06,Slovenia,"Andrej Stremfelj, Rok Zalokar"
JANU,Jannu,Nepal only,7711,25299,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,1,0,0,0,1962,Spring,Apr 27,"France, Nepal","Rene Desmaison, Paul Keller, Robert Paragot, Gyalzen Mitchung Sherpa"
JARK,Jarkya,Nepal & China,6473,21237,Manaslu/Mansiri,Manaslu-Ganesh,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
JASG,Jasemba Goth,Nepal only,6730,22080,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1964,Spring,Apr 08,W Germany,"Georg Huber, Fritz Stammberger"
JETH,Jethi Bahurani,Nepal only,6850,22474,Api/Byas Risi/Guras,Far West-Kanjiroba,Climbed,1,0,0,0,1978,Spring,Apr 27,Japan,"Kazuo Mitsui, Nobuhito Morota, Hideki Yoshida"
JING,Jinjang,Nepal only,6111,20049,Damodar,Annapurna-Damodar-Peri,Climbed,1,0,0,0,0,All,Unknown,Unknown,Climbed by Japanese in April 1983?
JOBO,Jobo Rinjang,Nepal only,6778,22238,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2009,Spring,Apr 22,USA,"Joe Puryear, David Gottlieb"
JOMS,Jomsom Himal,Nepal only,6335,20784,Damodar,Annapurna-Damodar-Peri,Climbed,1,0,0,0,2003,Autumn,Nov 04,"France, Nepal","Hugues De Varax, Yves Exbrayat, Frederique Gaume, Paulo Grobel, Mingma Temba Sherpa"
JONG,Jongsang,"Nepal, China & India",7462,24482,Jongsang,Kangchenjunga-Janak,Climbed,1,0,0,0,1930,Spring,Jun 03,"Germany, Austria","Hermann Hoerlin, Erwin Schneider"
JUNC,Junction Peak,Nepal only,7133,23402,Dhaulagiri,Dhaulagiri-Mukut,Unclimbed,0,1,0,0,0,All,Unknown,Unknown,Unclimbed
JYAC,Jyachhung,Nepal & China,6338,20794,Api/Byas Risi/Guras,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
KABD,Kabru Dome,India only,6600,21654,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,0,1,0,0,1982,Autumn,Sep 24,India,"Mahabir Thakur, Tshering Lobsang, K. N. Singh, Gautam Dutta, P. Bhotia, Umeshari Devi"
KABN,Kabru North,Nepal & India,7338,24075,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,0,1,0,0,1935,Autumn,Nov 18,UK,C. R. (Reggie) Cooke
KABR,Kabru Main,Nepal & India,7412,24318,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,1,0,0,0,1994,Spring,May 12,India,"Dan Singh, 2 unknown members"
KABS,Kabru South,Nepal & India,7318,24009,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,1,0,0,0,1994,Spring,May 12,India,"S. P. Malik, N. Arshad, 11 members"
KAG1,Kagmara I,Nepal only,5978,19613,Kanjiroba,Far West-Kanjiroba,Climbed,1,0,0,0,1962,Spring,May 23,"UK, Nepal","Dorothea Gravina, Denise Evans, Nancy Smith, Pat Wood, Ang Temba Sherpa, Mingma Tsering Sherpa, Pemba Norbu Sherpa"
KAGA,Kanta Gaton,Nepal only,5910,19390,Kanjiroba,Far West-Kanjiroba,Climbed,1,0,0,0,2009,Summer,Aug 16,"France, Nepal","Jean-Rene Minelli, Abel Minelli, Eienne Minelli, Sarah Minelli, Pemba Jangbu Sherpa"
KAIP,Kaipuchonam,Nepal & China,6329,20764,Kanti/Palchung,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
KAKU,Kang Kuru,Nepal only,6344,20814,Mukut/Mustang,Dhaulagiri-Mukut,Climbed,0,1,0,0,2008,Spring,Apr 16,USA,"Peter Athans, Theodore Hessler"
KALI,Kali Himal,Nepal only,6985,22917,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1983,Spring,Apr 05,Netherlands,"Joost Ubblink, Edwin Van Nieuwkerk"
KAN1,Kande Hiunchuli North  I,Nepal only,6521,21394,Kanjiroba,Far West-Kanjiroba,Unclimbed,0,1,0,0,0,All,Unknown,Unknown,Unclimbed
KAN2,Kande Hiunchuli North  II,Nepal only,6471,21230,Kanjiroba,Far West-Kanjiroba,Climbed,0,1,0,0,1980,Spring,May 03,Switzerland,"Daniel Chevallier, Pierre Galland"
KANB,Kangbachen,Nepal only,7902,25925,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,1,0,0,0,1974,Spring,May 26,Poland,"Wojciech Branski, Wieslaw Klaput, Marek Malatynski, Kazimierz Olech, Zbigniew Rubinowski"
KANC,Kangchenjunga Central,Nepal & India,8473,27799,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,1,0,0,0,1978,Spring,May 22,Poland,"Wojciech Branski, Zygmunt Heinrich, Kazimierz Olech"
KAND,Kande Hiunchuli,Nepal only,6627,21742,Kanjiroba,Far West-Kanjiroba,Climbed,1,0,0,0,1972,Autumn,Oct 18,Japan,"Toyokazu Hirota, Shigeru Kuwahata"
KANG,Kangchenjunga,Nepal & India,8586,28169,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,1,0,0,0,1955,Spring,May 25,UK,"George Band, Joe Brown"
KANN,Kangchenjunga North,Nepal & India,7938,26043,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed?
KANS,Kangchenjunga South,Nepal & India,8476,27808,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,1,0,0,0,1978,Spring,May 19,Poland,"Eugeniusz Chrobak, Wojciech Wroz"
KANT,Kanti Himal,Nepal & China,6850,22474,Kanti/Palchung,Far West-Kanjiroba,Climbed,1,0,0,0,2002,Autumn,Sep 24,"Japan, Nepal","Toyoji Wada, Katsumi Nishida, Atsushi Senda, Hyosuke Tsuboi, Yusuke Ueda, Ang Mingm Sherpa, Karchen Dawa Sherpa, Nga Dorje Sherpa"
KAPT,Kaptang,Nepal & China,5965,19570,Kanti/Palchung,Far West-Kanjiroba,Climbed,1,0,0,0,2009,Autumn,Jun 09,"Japan, Nepal","Tamotsu Ohnishi, Toshitsugi Irizawa, Gombu Sherpa"
KARK,Karko,Nepal only,6015,19734,Saipal,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed?
KARS,Karsang Kang,Nepal only,6225,20423,Damodar,Annapurna-Damodar-Peri,Climbed,1,0,0,0,2008,Autumn,Oct 11,France,"Paulo Grobel, Mary Cler"
KARY,Karyolung,Nepal only,6530,21424,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1982,Autumn,Oct 31,"Japan, Nepal","Yoshiyuki Inoue, Masatoshi Iwasa, Hiroshi Nishie, Yogendra Thapa, Gita Bdr Joshi, Babu Ram Pun, Gore Tamang, Pemba Tshering Sherpa"
KASI,Kasi Dalpha,Nepal only,6386,20951,Kanjiroba,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
KBNE,Kangbachen East,Nepal only,7780,25525,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
KBON,Konabon,Nepal only,6570,21555,Dhaulagiri,Dhaulagiri-Mukut,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
KCHN,Kangchung Nup,Nepal only,6043,19826,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,0,1,0,0,1953,Spring,Apr 04,"UK, New Zealand","Edmund Hillary, Wilfred Noyce, Charles Wylie"
KCHS,Kangchung Shar,Nepal only,6063,19892,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1984,Autumn,Nov 01,Yugoslavia,Francek Knez
KGRI,Khangri Shar,Nepal only,6792,22283,Khumbu,Khumbu-Rolwaling-Makalu,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
KGRW,Khangri West,Nepal only,6658,21844,Khumbu,Khumbu-Rolwaling-Makalu,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
KGUR,Kang Guru,Nepal only,6981,22904,Peri,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1955,Summer,Jul 02,W Germany,"Heinz Steinmetz, Fritz Lobbichler, Juergen Wellenkamp"
KHAM,Khamjung,Nepal only,6759,22175,Damodar,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1982,All,Unknown,Japan,Climbed?
KHAT,Khatang,Nepal only,6790,22277,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1982,Autumn,Oct 30,"Japan, Nepal","Tatsumi Kawamura, Yoshimi Kitayama, Dorje Sherpa"
KHAY,Khayang,Nepal & China,6186,20295,Manaslu/Mansiri,Manaslu-Ganesh,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed?
KHNG,Khung,Nepal & China,6024,19764,Kanti/Palchung,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
KHON,Khongma Tse,Nepal only,5798,19022,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,0,0,1,1978,0,All,Unknown,Unknown,1st ascent unknown
KHUM,Khumbutse,Nepal & China,6639,21781,Khumbu,Khumbu-Rolwaling-Makalu,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
KIMS,Kimshung,Nepal only,6781,22247,Langtang,Langtang-Jugal,Unclimbed,0,1,0,0,0,All,Unknown,Unknown,Unknown
KIRA,Kirat Chuli,Nepal & India,7362,24154,Jongsang,Kangchenjunga-Janak,Climbed,1,0,0,0,1939,Summer,May 29,"Switzerland, Germany","Ernst Grob, Herbert Paidar, Ludwig Schmaderer"
KJER,Kanjeralwa,Nepal only,6612,21693,Kanjiroba,Far West-Kanjiroba,Climbed,1,0,0,0,1973,Spring,Apr 22,"Japan, Nepal","Yasuaki Goshima, Koichi Kyogoku, Mingma Tensing Sherpa, Mingma Tsering Sherpa"
KJRN,Kanjiroba North,Nepal only,6858,22500,Kanjiroba,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
KJRS,Kanjiroba South,Nepal only,6883,22582,Kanjiroba,Far West-Kanjiroba,Climbed,1,0,0,0,1970,Autumn,Nov 07,Japan,"Hiroshi Okuda, Ichiryo Sato, Munehiro Sawada"
KNAG,Kang Nagchugo,Nepal & China,6737,22103,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2008,Autumn,Oct 17,USA,"Joseph Puryear, David Gottlieb"
KNTE,Kanti Himal East,Nepal & China,6516,21378,Kanti/Palchung,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
KOGI,Kogi Khang North,Nepal & China,6275,20587,Kanti/Palchung,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
KOJI,Kojichuwa Chuli,Nepal & China,6439,21125,Kanti/Palchung,Far West-Kanjiroba,Climbed,1,0,0,0,2010,Spring,May 25,Japan,"Ken Fujikawa, Yuta Kawamura, Satoshi Kimoto"
KOJS,Kojichuwa South,Nepal & China,6264,20551,Kanti/Palchung,Far West-Kanjiroba,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
KOTA,Kotang,Nepal & India,6148,20171,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Climbed,1,0,0,0,1982,Autumn,Oct 11,Inida,"K. V. Cherian, Nima Tashi Sherpa, Ang Norbu, Ki Kami Sherpa"
KTEG,Kangtega,Nepal only,6783,22254,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,1963,Spring,Jun 05,"New Zealand, USA","David Dornan, Tom Frost, Michael Gill, Jim Wilson"
KTOK,Kangtokal,Nepal only,6294,20650,Dhaulagiri,Dhaulagiri-Mukut,Climbed,1,0,0,0,1962,Spring,Jun 06,"Japan, Nepal","Zenkichi Hirayama, Ang Temba Sherpa"
KTSU,Kangtsune,Nepal only,6444,21142,Kanjiroba,Far West-Kanjiroba,Unclimbed,0,1,0,0,0,All,Unknown,Unknown,Unclimbed
KTUN,Khatung Khang,Nepal only,6484,21273,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1956,Spring,Apr 12,Switzerland,"Arthur Baumgartner, Marguerite Deriaz"
KUML,Kumlung,Nepal only,6355,20850,Damodar,Annapurna-Damodar-Peri,Climbed,1,0,0,0,2008,Autumn,Oct 14,France,"Paulo Grobel, Paul Vulin"
KUSU,Kusum Kanguru,Nepal only,6370,20899,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,0,0,1,1978,1981,Autumn,Oct 07,New Zealand,Bill Denz
KWAN,Kwangde,Nepal only,6186,20295,Rolwaling,Khumbu-Rolwaling-Makalu,Climbed,0,0,1,1978,1978,Autumn,Nov 11,Japan,"Takashi Iwahashi, Yoshihisa Ishikawa, Seiji Ogawa"
KYAB,Kyabura,Nepal only,6294,20650,Kangchenjunga/Simhalila,Kangchenjunga-Janak,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed?
KYAS,Kyashar,Nepal only,6770,22211,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,1,0,0,0,2003,Autumn,Oct 18,"UK, Austria, Swiss","Bruce Normand, Sam Broderick, Andreas Frank"
KYAZ,Kyazo Ri,Nepal only,6151,20180,Khumbu,Khumbu-Rolwaling-Makalu,Climbed,0,0,1,2002,2002,Autumn,Oct 20,"UK, France","Duncan Wilson, Vincent Marche"
KYR1,Kyungka Ri 1,Nepal only,6599,21650,Langtang,Langtang-Jugal,Climbed,1,0,0,0,2017,Autumn,Oc 15,S Korea,"Han San-Hum, Oh Chi-Wan"
KYR2,Kyungka Ri 2,Nepal & China,6506,21345,Langtang,Langtang-Jugal,Unclimbed,1,0,0,0,0,All,Unknown,Unknown,Unclimbed
LAMJ,Lamjung Himal,Nepal only,6983,22910,Annapurna,Annapurna-Damodar-Peri,Climbed,1,0,0,0,1974,Spring,Apr 25,UK,"Derrick Chamberlain, Phillip Neame"
LAMP,Lampo,Nepal & China,6648,21811,Ganesh/Shringi,Manaslu-Ganesh,Unclimbed,0,1,0,0,0,All,Unknown,Unknown,Unclimbed
LANG,Langtang Lirung,Nepal only,7227,23711,Langtang,Langtang-Jugal,Climbed,1,0,0,0,1978,Autumn,Oct 24,"Japan, Nepal","Seishi Wada, Pemba Tsering Sherpa"
LANR,Langtang Ri,Nepal & China,7205,23638,Langtang,Langtang-Jugal,Climbed,1,0,0,0,1981,Autumn,Oct 10,"Japan, Nepal","Soichi Nasu, Makihiro Wakao, Noboru Yamada, Ang Rinji Sherpa"
LANY,Langtang Yubra,Nepal only,6048,19843,Langtang,Langtang-Jugal,Unclimbed,0,0,1,0,2018,Autumn,Oct 21,"Australia, Netherands, Nepal","Karen De Lathouder, Elizabeth Finden, Edith Jankowski, Chris Jones, Warren Townsden, Lhakpa Nuru Sherpa, Mingma Sherpa, Nawang Sherpa, Phurba Sherpa, Sona Sherpa"
LARK,Larkya Peak,Nepal only,6416,21050,Manaslu/Mansiri,Manaslu-Ganesh,Climbed,0,0,1,0,2017,Autumn,Sep 27,Georgia,"Archil Badriashvili, Giorgi Tepnadze, Bakar Gelashvili"
